original,Date,Open,High,Low,Close,Adj Close,Volume
20190917,2019-09-17,39.7,41,39.4,41,39.6486,1566850
20190918,2019-09-18,40.9,41.25,40.55,41.15,39.7936,1630310
20190919,2019-09-19,41.2,41.25,40.75,40.8,39.4551,1029490
20190920,2019-09-20,40.8,41.1,39.8,40,38.6815,2204400
20190923,2019-09-23,39.7,40.5,39.6,39.65,38.3431,1089550
20190924,2019-09-24,39.8,40,39.45,39.45,38.1496,821180
20190925,2019-09-25,39.25,39.9,38.9,39.9,38.5848,1445080
20190926,2019-09-26,39.9,40.7,39.9,40.15,38.8266,888310
20190927,2019-09-27,40.3,40.4,40.05,40.25,38.9233,876890
20190930,2019-09-30,40.2,40.65,39.4,39.4,38.1013,1429150
20191001,2019-10-01,39.4,40,39.4,40,38.6815,862420
20191002,2019-10-02,40,40.8,39.95,40.2,38.8749,1505190
20191003,2019-10-03,39.8,41.25,39.75,41.25,39.8903,1939160
20191004,2019-10-04,41.3,41.65,40.5,40.5,39.165,884430
20191007,2019-10-07,40.9,40.9,40,40.4,39.0683,807180
20191008,2019-10-08,40.4,41.1,40.1,41.1,39.7453,650420
20191009,2019-10-09,41.1,41.8,40.8,41.25,39.8903,1415560
20191010,2019-10-10,41.25,41.7,41,41,39.6486,1054690
20191011,2019-10-11,41,41.2,40.7,40.8,39.4551,552640
20191014,2019-10-14,41,41.95,40.85,41.15,39.7936,1381960
20191015,2019-10-15,41,41.55,41,41.4,40.0354,631810
20191016,2019-10-16,41.4,41.65,41.15,41.15,39.7936,650130
20191017,2019-10-17,41.35,41.35,40.8,40.8,39.4551,801110
20191018,2019-10-18,40.8,40.8,40,40.1,38.7782,1225560
20191021,2019-10-21,39.7,40,39.3,39.3,38.0046,1281520
20191022,2019-10-22,39.3,40,39.3,40,38.6815,566150
20191023,2019-10-23,40,40.3,39.85,40.1,38.7782,455760
20191024,2019-10-24,40.1,40.5,39.75,40.3,38.9716,513170
20191025,2019-10-25,40,40.55,39.8,40.2,38.8749,968770
20191028,2019-10-28,41.1,41.2,40.6,40.6,39.2617,800080
20191029,2019-10-29,40.9,40.9,40,40.6,39.2617,921380
20191030,2019-10-30,40.5,40.8,40.15,40.2,38.8749,760410
20191031,2019-10-31,40.2,40.7,40.05,40.6,39.2617,777680
20191101,2019-11-01,40.5,41.1,40.3,41,39.6486,1180640
20191104,2019-11-04,41.1,42.45,41.1,42.2,40.809,1744250
20191105,2019-11-05,42.3,42.5,42.15,42.5,41.0991,898400
20191106,2019-11-06,42.35,42.7,42.2,42.2,40.809,821030
20191107,2019-11-07,41.3,41.8,40.8,41.6,40.9086,1105060
20191108,2019-11-08,41.8,42,41.2,41.3,40.6136,729880
20191111,2019-11-11,41.25,41.9,41.1,41.3,40.6136,724450
20191112,2019-11-12,41.4,42.2,41.3,42.1,41.4003,1499510
20191113,2019-11-13,42.2,42.9,42.2,42.9,42.187,1804440
20191114,2019-11-14,43,43,42.1,42.5,41.7937,811080
20191115,2019-11-15,42.65,42.7,42,42,41.302,627650
20191118,2019-11-18,41.8,42.2,41.25,41.3,40.6136,958470
20191119,2019-11-19,41.3,41.7,41.1,41.65,40.9578,676040
20191120,2019-11-20,41.9,41.9,41.25,41.55,40.8595,246520
20191121,2019-11-21,41.5,41.7,41.15,41.2,40.5153,611690
20191122,2019-11-22,41.5,41.5,39.8,40.2,39.5319,1041320
20191125,2019-11-25,40.2,40.6,39.5,39.7,39.0402,822450
20191126,2019-11-26,40.3,40.55,39.8,40,39.3352,406540
20191127,2019-11-27,40.1,41.4,40.1,40.8,40.1219,1060810
20191128,2019-11-28,41,41,40.45,40.65,39.9744,396280
20191129,2019-11-29,40.65,40.9,40.5,40.5,39.8269,391620
20191202,2019-12-02,40.3,40.3,39.4,39.4,38.7452,702050
20191203,2019-12-03,39.4,40.05,39,39.7,39.0402,786830
20191204,2019-12-04,39.7,40.55,39.6,40.35,39.6794,352310
20191205,2019-12-05,40.55,40.6,39.65,40,39.3352,393640
20191206,2019-12-06,39.7,40.2,39.55,39.65,38.9911,374930
20191209,2019-12-09,40,40,39.65,40,39.3352,358570
20191210,2019-12-10,40,40.35,39.75,39.9,39.2369,415660
20191211,2019-12-11,39.9,40.1,39.8,40.1,39.4336,280130
20191212,2019-12-12,40.6,41,40.2,41,40.3186,724090
20191213,2019-12-13,41,41.95,41,41.9,41.2037,1426060
20191216,2019-12-16,42.2,42.25,41.5,41.9,41.2037,841690
20191217,2019-12-17,41.8,41.9,41.3,41.45,40.7611,580480
20191218,2019-12-18,41.1,42.55,41.1,42,41.302,1478200
20191219,2019-12-19,42,42.45,41.4,42.2,41.4987,702550
20191220,2019-12-20,42,42.8,42,42.75,42.0395,712940
20191223,2019-12-23,42.75,44.95,42.75,44.75,44.0063,2442660
20191224,2019-12-24,44.55,45.15,44.3,44.9,44.1538,741520
20191225,2019-12-25,44.1,45.25,44.1,45.2,44.4488,585450
20191226,2019-12-26,45.05,45.35,44.2,44.2,43.4654,525840
20191227,2019-12-27,44.2,46.2,44,46.2,45.4322,1098010
20191230,2019-12-30,46.3,47.15,46,46.1,45.3339,872650
20191231,2019-12-31,46.2,46.5,45.9,46.15,45.383,630410
20200102,2020-01-02,46,47.2,45.9,46.9,46.1206,872620
20200103,2020-01-03,47.35,47.5,46.7,46.7,45.9239,603940
20200106,2020-01-06,46.7,46.7,45.8,45.8,45.0388,794490
20200107,2020-01-07,45.8,46.7,45.2,46.7,45.9239,526890
20200108,2020-01-08,46,47.9,45.8,47.1,46.3172,1230830
20200109,2020-01-09,47.75,49.9,47.6,49.65,48.8249,1573190
20200110,2020-01-10,49.65,52,49.6,51.3,50.4474,1506410
20200113,2020-01-13,49.9,51.5,49.5,50.1,49.2674,544740
20200114,2020-01-14,50.1,51.5,49.9,50.1,49.2674,752200
20200115,2020-01-15,49.9,51.3,49.9,51,50.1524,695290
20200116,2020-01-16,51,54.1,51,54,53.1026,1004080
20200117,2020-01-17,54.1,54.6,53.1,53.5,52.6109,643490
20200120,2020-01-20,53.5,54.2,53.2,53.3,52.4142,761650
20200121,2020-01-21,53.3,54.5,53.3,54,53.1026,609600
20200122,2020-01-22,54,55.8,53.8,55.5,54.5776,781390
20200130,2020-01-30,54.5,54.9,52,52.7,51.8242,1388710
20200131,2020-01-31,52.3,53.6,51.5,51.5,50.6441,1154570
20200203,2020-02-03,49.8,55,47.9,53.5,52.6109,1562560
20200204,2020-02-04,54.4,54.7,53.6,54.4,53.4959,1406270
20200205,2020-02-05,54.9,55.2,53.5,53.5,52.6109,718710
20200206,2020-02-06,53.4,54.1,53,53.2,52.3159,1469930
20200207,2020-02-07,52.7,53.3,51.6,51.7,50.8408,1501140
20200210,2020-02-10,50.9,51.2,49.1,49.1,48.284,1111680
20200211,2020-02-11,49.1,51.4,49.1,50.8,49.9557,917080
20200212,2020-02-12,51.5,51.8,50.7,50.8,49.9557,704550
20200213,2020-02-13,50.7,51,49.9,50.4,49.5624,578820
20200214,2020-02-14,50.1,50.6,50,50,49.169,627040
20200217,2020-02-17,50.2,51.5,50.1,51.5,50.6441,863730
20200218,2020-02-18,51.9,52.6,51.5,52,51.1358,879430
20200219,2020-02-19,52,52.1,51.2,51.3,50.4474,372250
20200220,2020-02-20,51.9,52,51.2,51.3,50.4474,552810
20200221,2020-02-21,51.3,51.3,48.75,49.5,48.6774,2619020
20200224,2020-02-24,48.2,48.8,46.3,46.3,45.5305,1081210
20200225,2020-02-25,45,48.8,45,48.8,47.989,878610
20200226,2020-02-26,47.6,48.3,46.85,47,46.2189,626350
20200227,2020-02-27,47,47.7,46.45,47.1,46.3172,722680
20200228,2020-02-28,46,46.4,45.05,45.5,44.7438,972320
20200302,2020-03-02,45.9,45.9,45,45.15,44.3996,568290
20200303,2020-03-03,46.8,47.75,45.7,46.9,46.1206,1016900
20200304,2020-03-04,47,47,45.9,46.15,45.383,658350
20200305,2020-03-05,46.55,47.25,46.5,46.65,45.8747,872610
20200306,2020-03-06,45.5,47.15,45.5,46.85,46.0714,555990
20200309,2020-03-09,43.7,44.7,43.6,43.6,42.8754,944020
20200310,2020-03-10,42.5,44,41.3,42.4,41.6953,1366220
20200311,2020-03-11,43.5,43.5,39.45,39.45,38.7944,1522030
20200312,2020-03-12,36.75,37.7,36.7,36.7,36.0901,1531140
20200313,2020-03-13,34.15,36.7,34.15,35,34.4183,2330290
20200316,2020-03-16,35,35.95,32.55,32.8,32.2549,2191590
20200317,2020-03-17,30.6,33.9,30.6,33.8,33.2383,1774340
20200318,2020-03-18,34,35.5,33.95,34.55,33.9758,1743970
